Lang_pair	Segment_distance	Tone_distance	Unweighted_total_distance	Weight	Weighted_total_distance
Shanghai_Wulumuqi	0.6358203626586324	0.673669282703917	1.3094896453625493	2.1687752178405266	2.0526207282363353
Shanghai_Lanzhou	0.6962782090466175	0.5844634031976461	1.2807416122442636	2.2243925584480384	2.13325947001047
Shanghai_Beijing	0.6626103301667345	0.5581414963593677	1.2207518265261021	2.14499362933834	1.9794364333007874
Shanghai_Nanjing	0.5862763873682408	0.49596006186000363	1.0822364492282444	2.0758149269309656	1.712961338066159
Shanghai_Nanning	0.7371402679597371	0.5612234817021876	1.2983637496619247	1.919064759643408	1.975843392857818
Shanghai_Nanchang	0.5775813018929356	0.3835833130659137	0.9611646149588493	1.9594270785675723	1.5153117560692433
Shanghai_Xiamen	0.7095380503910281	0.7006196634618	1.4101577138528283	1.9323081827564048	2.0716658442094102
Shanghai_Taibei	0.6478713580144456	0.7026278717265485	1.3504992297409941	1.861626709190277	1.9087224959256166
Shanghai_Hefei	0.6691079650930061	0.5796582166339384	1.2487661817269444	2.072525716425291	1.9664016813541891
Shanghai_Huhehaote	0.5654608563226091	0.606272634211155	1.171733490533764	2.013655990779455	1.7449162750964575
Shanghai_Haerbin	0.6552009878699503	0.545428096602658	1.2006290844726082	2.281508549564156	2.0402747521108306
Shanghai_Tianjin	0.6637789620045919	0.6407680863176116	1.3045470483222035	2.0329269917336403	1.990182254721685
Shanghai_Taiyuan	0.5318269692462633	0.6657712119504271	1.1975981811966903	2.0898262696373227	1.7771971831828686
Shanghai_Tunxi	0.6639181860319743	0.5685564940094583	1.2324746800414326	1.9182555963199126	1.8421212698638578
Shanghai_Pingyao	0.6345818378723788	0.5220911260666228	1.1566729639390014	2.0735096389116605	1.8379026835732768
Shanghai_Guangzhou	0.721702551722557	0.44150957462980545	1.1632121263523625	1.894282722977498	1.8086182494866192
Shanghai_Jianou	0.692228359506661	0.5946863113565504	1.2869146708632113	1.914970409960971	1.9202831367476314
Shanghai_Chengdu	0.6176862085076574	0.5348897665035545	1.152575975011212	2.136480056737943	1.8545640323022394
Shanghai_Kunming	0.7140648191328027	0.6860894615684237	1.4001542807012264	2.0413387257170723	2.143737629536371
Shanghai_Hangzhou	0.44469330917742567	0.23173092782741347	0.6764242370048391	1.8030804773187896	1.0335487519995183
Shanghai_Taoyuan	0.7423732350102676	0.7838920188649537	1.5262652538752213	2.130693153540265	2.3656615880728693
Shanghai_Meixian	0.6640838224799963	0.7524111275435963	1.4164949500235926	2.081642641525369	2.13479632996512
Shanghai_Shexian	0.6406030239501496	0.6243878051122558	1.2649908290624055	1.8513731185273865	1.8103830233009182
Shanghai_Wuhan	0.6335899985221817	0.540319310062208	1.1739093085843897	2.1304029535375357	1.890121314245707
Shanghai_Shantou	0.6511395532285406	0.7773967509047954	1.428536304133336	1.886174219830644	2.0055593897165123
Shanghai_Jinan	0.6888741929356871	0.7505075385309541	1.439381731466641	2.064655567629413	2.1727954763718387
Shanghai_Haikou	0.7602589071167575	0.471445735406052	1.2317046425228095	1.9123788642679709	1.9253488007476054
Shanghai_Wenzhou	0.40119058627190357	0.5901931674116866	0.9913837536835901	1.8486244227367472	1.3318438833660013
Shanghai_Xiangtan	0.6531546905630058	0.5259714329749073	1.1791261235379131	1.9800591259731988	1.8192563386963876
Shanghai_Fuzhou	0.6205383315572002	0.8306927643533581	1.4512310959105583	1.8529513059979823	1.980520076234081
Shanghai_Suzhou	0.2418859993920401	0.40884810528938387	0.650734104681424	1.9392100626723399	0.8779158693299836
Shanghai_Xining	0.7004135098271567	0.4905654359821775	1.1909789458093343	2.2587551437914484	2.07262805408529
Shanghai_Xian	0.6608522284033809	0.617459002521411	1.2783112309247917	2.078577477919183	1.9910915607133823
Shanghai_Guiyang	0.6579543740609131	0.6545680255042982	1.312522399565211	2.0815075872579434	2.0241050471816395
Shanghai_Zhengzhou	0.6816242253955705	0.6184667064015167	1.3000909317970872	2.0116001500700365	1.9896221004986185
Shanghai_Yinchuan	0.6313760033297096	0.5859630138989143	1.2173390172286238	2.88328958809056	2.4064028704696963
Shanghai_Changsha	0.5975976709019781	0.4982321650782237	1.095829835980202	2.0542284795941987	1.7258343199842285
Shanghai_Qingdao	0.6963503048725153	0.6090228408899435	1.3053731457624589	2.375873061127219	2.2634627713442788
Shanghai_Xianggang	0.7383689014906334	0.49035749945257134	1.2287264009432048	1.9275989475199307	1.9136366168473637
Wulumuqi_Lanzhou	0.4272362360696493	0.49035567293695914	0.9175919090066085	2.431676549231225	1.5292560091693408
Wulumuqi_Beijing	0.23414590773779567	0.6082300178012401	0.8423759255390357	2.331813335247454	1.1542145678578521
Wulumuqi_Nanjing	0.48649624719134105	0.7831086986088891	1.26960494580023	2.2571073913400252	1.881182974003649
Wulumuqi_Nanning	0.5989544854138764	0.5018566258872816	1.100811111301158	2.0590625521648294	1.73514137725415
Wulumuqi_Nanchang	0.5492772514556986	0.6404960693117037	1.1897733207674022	2.1205169069156145	1.805247767607652
Wulumuqi_Xiamen	0.5784738185099498	0.515379500763448	1.0938533192733977	2.082936165793602	1.720303538302547
Wulumuqi_Taibei	0.5991965436046057	0.49377658137055813	1.0929731249751637	1.9983304951843237	1.6911693070646852
Wulumuqi_Hefei	0.5677017544392984	0.7386407849163806	1.3063425393556791	2.2565729661381666	2.019701216813309
Wulumuqi_Huhehaote	0.4241467058275697	0.6534340338163553	1.077580739643925	2.1906835311654853	1.582605237070904
Wulumuqi_Haerbin	0.24089874204350975	0.5696855133840253	0.8105842554275351	2.4910189634113133	1.1697688480763384
Wulumuqi_Tianjin	0.25945351756103724	0.721072591622574	0.9805261091836113	2.2014206638858984	1.2922389264993241
Wulumuqi_Taiyuan	0.3821907573336657	0.5972441255200371	0.9794348828537028	2.2780316235725038	1.4678867569632525
