Lang_pair	Segment_distance	Tone_distance	Unweighted_total_distance	Weight	Weighted_total_distance
Shanghai_Wulumuqi	2.193548387096774	2.953917050691244	5.147465437788018	2.1687752178405266	7.711230431760786
Shanghai_Lanzhou	2.28110599078341	2.2442396313364057	4.525345622119816	2.2243925584480384	7.318314822266263
Shanghai_Beijing	2.3364055299539173	2.608294930875576	4.944700460829493	2.14499362933834	7.619869908177597
Shanghai_Nanjing	1.8294930875576036	1.4654377880184333	3.294930875576037	2.0758149269309656	5.263126847887527
Shanghai_Nanning	2.3087557603686637	2.055299539170507	4.364055299539171	1.919064759643408	6.48595135751773
Shanghai_Nanchang	1.7972350230414746	1.2903225806451613	3.087557603686636	1.9594270785675723	4.811873551342641
Shanghai_Xiamen	2.2903225806451615	2.2211981566820276	4.511520737327189	1.9323081827564048	6.646807220414439
Shanghai_Taibei	2.078341013824885	2.3317972350230414	4.410138248847926	1.861626709190277	6.2008923771650455
Shanghai_Hefei	1.7235023041474655	1.663594470046083	3.3870967741935485	2.072525716425291	5.235597317709948
Shanghai_Huhehaote	1.5253456221198156	2.4838709677419355	4.009216589861751	2.013655990779455	5.555392317732717
Shanghai_Haerbin	2.3364055299539173	2.2857142857142856	4.622119815668203	2.281508549564156	7.6162434775531205
Shanghai_Tianjin	2.3364055299539173	2.3548387096774195	4.691244239631336	2.0329269917336403	7.1045805751564775
Shanghai_Taiyuan	1.631336405529954	1.7419354838709677	3.3732718894009217	2.0898262696373227	5.15114515876319
Shanghai_Tunxi	2.1889400921658986	1.9170506912442395	4.105990783410138	1.9182555963199126	6.1159972730505
Shanghai_Pingyao	1.7649769585253456	1.7788018433179724	3.543778801843318	2.0735096389116605	5.438498579277263
Shanghai_Guangzhou	2.2672811059907834	1.064516129032258	3.3317972350230414	1.894282722977498	5.359387556243912
Shanghai_Jianou	2.304147465437788	2.3640552995391704	4.668202764976958	1.914970409960971	6.776429516039103
Shanghai_Chengdu	2.248847926267281	2.414746543778802	4.663594470046084	2.136480056737943	7.219365288885328
Shanghai_Kunming	2.0829493087557602	2.857142857142857	4.940092165898617	2.0413387257170723	7.109147944811598
Shanghai_Hangzhou	1.2995391705069124	1.0506912442396312	2.3502304147465436	1.8030804773187896	3.3938649520916986
Shanghai_Taoyuan	2.313364055299539	2.5483870967741935	4.861751152073733	2.130693153540265	7.477456051047064
Shanghai_Meixian	2.096774193548387	1.7649769585253456	3.8617511520737327	2.081642641525369	6.129711529465634
