Lang_pair	Segment_distance	Tone_distance	Unweighted_total_distance	Weight	Weighted_total_distance
Shanghai_Wulumuqi	0.8134086015850256	0.8708503224877755	1.6842589240728012	2.1687752178405266	2.6349507395836973
Shanghai_Lanzhou	0.8419243520272555	0.8112477067133215	1.653172058740577	2.2243925584480384	2.6840179701389353
Shanghai_Beijing	0.8325545026235901	0.838136176853376	1.6706906794769663	2.14499362933834	2.623960281057927
Shanghai_Nanjing	0.7849181239312918	0.662665479802875	1.447583603734167	2.0758149269309656	2.2920102378781
Shanghai_Nanning	0.896900463371188	0.7906547731636933	1.6875552365348812	1.919064759643408	2.5118648453271835
Shanghai_Nanchang	0.8097946707560364	0.5723335987836318	1.3821282695396682	1.9594270785675723	2.1590672047427213
Shanghai_Xiamen	0.8815861674636073	0.9066089255820846	1.788195093045692	1.9323081827564048	2.6101050907768713
Shanghai_Taibei	0.8336827810271563	0.868435414880851	1.7021181959080072	1.861626709190277	2.4204415470330343
Shanghai_Hefei	0.8796762078293073	0.7096491218396409	1.5893253296689482	2.072525716425291	2.5328006846933593
Shanghai_Huhehaote	0.7901797889446248	0.8601737177077579	1.6503535066523827	2.013655990779455	2.451323983508947
Shanghai_Haerbin	0.8296576047378608	0.79785846347079	1.6275160682086507	2.281508549564156	2.6907293818911384
Shanghai_Tianjin	0.8465585955500387	0.8745662132127926	1.7211248087628312	2.0329269917336403	2.595558032190588
Shanghai_Taiyuan	0.7524659369083069	0.8344804850723865	1.5869464219806932	2.0898262696373227	2.4070035670306265
Shanghai_Tunxi	0.8169290885697403	0.6901166910051209	1.5070457795748613	1.9182555963199126	2.257195486950551
Shanghai_Pingyao	0.8297714718040572	0.6351616656728951	1.4649331374769523	2.0735096389116605	2.3557008105525226
Shanghai_Guangzhou	0.8852067743149754	0.5688029343648613	1.4540097086798367	1.894282722977498	2.2456348332123603
Shanghai_Jianou	0.8683313988355328	0.8367155796040723	1.7050469784396052	1.914970409960971	2.499544514414136
Shanghai_Chengdu	0.8036360250843056	0.7807870088076959	1.5844230338920016	2.136480056737943	2.4977393492764683
Shanghai_Kunming	0.8389522984471398	0.8761120388259414	1.7150643372730812	2.0413387257170723	2.5886978546754347
Shanghai_Hangzhou	0.6819441209865723	0.4208161260300716	1.102760247016644	1.8030804773187896	1.6504162572032828
Shanghai_Taoyuan	0.909203554833586	0.9272189606318169	1.8364225154654028	2.130693153540265	2.8644527500902095
Shanghai_Meixian	0.8591385585499189	0.9197769598055475	1.7789155183554666	2.081642641525369	2.7081964182616987
Shanghai_Shexian	0.8162965861415294	0.8373000630873197	1.6535966492288492	1.8513731185273865	2.3485696194154224
Shanghai_Wuhan	0.8239490251704601	0.7625809586878463	1.5865299838583065	2.1304029535375357	2.517924395475368
Shanghai_Shantou	0.8501787475123296	0.9083375470741936	1.7585162945865231	1.886174219830644	2.511922782879856
Shanghai_Jinan	0.8302412185609862	0.8985913618680732	1.7288325804290594	2.064655567629413	2.6127535162454416
Shanghai_Haikou	0.8897220176724727	0.6443167446708249	1.5340387623432976	1.9123788642679709	2.3458023263415155
Shanghai_Wenzhou	0.6446761286853528	0.8254155267193997	1.4700916554047525	1.8486244227367472	2.017179562962521
Shanghai_Xiangtan	0.8352619703795581	0.813449695940146	1.6487116663197041	1.9800591259731988	2.4673177829685455
Shanghai_Fuzhou	0.8669875763805266	0.946498470528465	1.8134860469089915	1.8529513059979823	2.552984232466787
Shanghai_Suzhou	0.4328014464574944	0.5389546376694385	0.9717560841269329	1.9392100626723399	1.3782475577789555
Shanghai_Xining	0.8464687384498	0.7560269647627434	1.6024957032125435	2.2587551437914484	2.6679925817948873
Shanghai_Xian	0.8297454068807336	0.8240429581970465	1.65378836507778	2.078577477919183	2.548733073346228
Shanghai_Guiyang	0.8319703779243263	0.8646278412295125	1.696598219153839	2.0815075872579434	2.5963804952528564
Shanghai_Zhengzhou	0.8463098442125212	0.8484718021300525	1.6947816463425736	2.0116001500700365	2.5509088117537093
Shanghai_Yinchuan	0.7928398115510702	0.7938710792280121	1.5867108907790823	2.88328958809056	3.079857852896894
Shanghai_Changsha	0.7690065142241503	0.6714685972815996	1.44047511150575	2.0542284795941987	2.2511836797943103
Shanghai_Qingdao	0.8462569452708888	0.8186388369875188	1.6648957822584076	2.375873061127219	2.829237916048435
Shanghai_Xianggang	0.9067025676857987	0.6445991912917639	1.5513017589775626	1.9275989475199307	2.3923581064765282
Wulumuqi_Lanzhou	0.6381327019206194	0.7814038912519727	1.4195365931725923	2.431676549231225	2.333136217809902
Wulumuqi_Beijing	0.34917929888137905	0.7979257274779801	1.1471050263593592	2.331813335247454	1.612146673001936
Wulumuqi_Nanjing	0.7621427772094865	0.9193104583556501	1.6814532355651366	2.2571073913400252	2.639548554051596
Wulumuqi_Nanning	0.7639790367299276	0.7505039936516866	1.5144830303816144	2.0590625521648294	2.323584618821239
Wulumuqi_Nanchang	0.7125952407082364	0.8375473488426227	1.5501425895508592	2.1205169069156145	2.34861760455204
Wulumuqi_Xiamen	0.7335114966105988	0.7603127295712132	1.493824226181812	2.082936165793602	2.2881703538868208
Wulumuqi_Taibei	0.7610479214673096	0.7587125329452875	1.519760454412597	1.9983304951843237	2.2795378027100566
Wulumuqi_Hefei	0.7975265524658991	0.89984765258111	1.697374205047009	2.2565729661381666	2.69952451065303
Wulumuqi_Huhehaote	0.6522155060828253	0.8367747654815715	1.4889902715643968	2.1906835311654853	2.2655725334279793
Wulumuqi_Haerbin	0.3647533469933264	0.7633295498355195	1.1280828968288459	2.4910189634113133	1.6719370541636425
Wulumuqi_Tianjin	0.4149642047676339	0.9235805306708734	1.3385447354385074	2.2014206638858984	1.837091305819322
Wulumuqi_Taiyuan	0.58559121476901	0.8263947279040232	1.4119859426730332	2.2780316235725038	2.160390033634066
Wulumuqi_Tunxi	0.8309000781931717	0.8638174483970776	1.6947175265902494	2.073570534787375	2.5867473678909643
Wulumuqi_Pingyao	0.7435265004394127	0.8852044727656319	1.6287309732050446	2.265435076404757	2.569615487097554
Wulumuqi_Guangzhou	0.8017006319818119	0.7932584236971122	1.594959055678924	2.032862413469855	2.4230055053079664
Wulumuqi_Jianou	0.7530241087240249	0.8367128207172237	1.5897369294412487	2.0634792115932212	2.390562414897763
Wulumuqi_Chengdu	0.5644826030223923	0.6858069033213156	1.2502895063437078	2.3218544992785057	1.9964533749132998
Wulumuqi_Kunming	0.760742696847664	0.5948728347794474	1.3556155316271115	2.208420978319853	2.274912965601449
Wulumuqi_Hangzhou	0.8553942516734353	0.8478287520246416	1.7032230036980769	1.9414893407939897	2.5085675738250677
Wulumuqi_Taoyuan	0.8604019100294695	0.8984870827738	1.7588889928032696	2.3013694709816788	2.8785897712899464
Wulumuqi_Meixian	0.7167820532926796	0.7402186453289968	1.4570006986216764	2.2466606956367405	2.35058471179946
Wulumuqi_Shexian	0.7531587264128742	0.853500830867711	1.6066595572805853	1.9947347984506383	2.355852751200235
Wulumuqi_Wuhan	0.505877305836538	0.5399855916165989	1.0458628974531368	2.314745962400501	1.7109630427717684
Wulumuqi_Shantou	0.7929363107613466	0.7042245239164547	1.4971608346778014	2.0251845714851413	2.310066906640681
Wulumuqi_Jinan	0.5995062097083088	0.5286531523930135	1.1281593621013224	2.2356475189693255	1.8689377227340982
Wulumuqi_Haikou	0.8346886018301877	0.8787053752521345	1.713393977082322	2.054491867983005	2.5935663200103596
Wulumuqi_Wenzhou	0.7989654341158773	0.651390260730561	1.4503556948464382	1.9885961449863485	2.240209842990739
Wulumuqi_Xiangtan	0.7469839018889061	0.8308414829723524	1.5778253848612585	2.138998465904633	2.428638903168179
Wulumuqi_Fuzhou	0.8349880436471998	0.6722065962307228	1.5071946398779226	1.9909829189235244	2.3346535286376677
Wulumuqi_Suzhou	0.8733894781210384	0.6972603682148225	1.570649846335861	2.0956443072916175	2.5275740560875732
Wulumuqi_Xining	0.6423529040912808	0.5824740617566916	1.2248269658479725	2.4606992150346536	2.1631113486293363
Wulumuqi_Xian	0.49126177435871066	0.8732950872039877	1.3645568615626984	2.254240018607607	1.9807170385755737
Wulumuqi_Guiyang	0.5837481728203464	0.4227854059181488	1.0065335787384952	2.256295790696282	1.739893951079342
Wulumuqi_Zhengzhou	0.4698529781118675	0.5854602024049096	1.055313180516777	2.1753353647847753	1.607548001941102
Wulumuqi_Yinchuan	0.4412887410796275	0.708989601442812	1.1502783425224394	3.210305544187286	2.125661293518168
Wulumuqi_Changsha	0.5621957036267665	0.8486647000307165	1.410860403657483	2.227705912066481	2.1010713927384392
Wulumuqi_Qingdao	0.6542752167647923	0.645550777832439	1.2998259945972312	2.5968056034687046	2.344576326937953
Wulumuqi_Xianggang	0.7717143274366401	0.7195880404520894	1.4913023678887294	2.0701093896666842	2.3171211158189884
Lanzhou_Beijing	0.6387060608519092	0.9179469501078275	1.5566530109597365	2.398478411323558	2.4498696482426423
Lanzhou_Nanjing	0.7691547534675788	0.8536597863656712	1.62281453983325	2.319740894153514	2.637899521916978
Lanzhou_Nanning	0.8887724732972128	0.9167481081084639	1.8055205814056765	2.101928644412028	2.7848844280967997
Lanzhou_Nanchang	0.8683850654517435	0.9022686332767772	1.7706536987285206	2.1721835924846173	2.788560424409735
Lanzhou_Xiamen	0.8736011796230929	0.8716613843353531	1.745262563958446	2.12999651069707	2.7324288486733854
Lanzhou_Taibei	0.8841461636245715	0.8921450131330272	1.7762911767575988	2.038698736364234	2.6946526796757264
Lanzhou_Hefei	0.756474187198717	0.8852467154339949	1.641720902632712	2.3202651043271207	2.6404673743153997
